CID,BDATE,GEN
NASAW00017861,1979-05-29,Female
NASAW00017862,1986-10-27,Male
NASAW00017863,1970-04-11,Female
NASAW00017864,1992-09-16,Female
NASAW00017865,2007-12-27,Male
NASAW00017866,1971-10-19,Male
NASAW00017867,1988-12-12,Female
NASAW00017868,1987-08-12,Male
NASAW00017869,1982-12-15,Male
NASAW00017870,1987-11-17,Female
NASAW00017871,1980-07-14,Female
NASAW00017872,2004-06-12,Male
NASAW00017873,1981-12-17,Male
NASAW00017874,1982-05-31,Female
NASAW00017875,1981-03-07,Male
NASAW00017876,1992-07-22,Male
NASAW00017877,1983-09-18,Male
NASAW00017878,1976-01-15,Female
NASAW00017879,1992-05-19,Male
NASAW00017880,1988-10-11,Female
NASAW00017881,1979-01-25,Female
NASAW00017882,1983-10-09,Male
NASAW00017883,2007-11-28,Female
NASAW00017884,1984-08-24,Female
NASAW00017885,1995-10-06,Male
NASAW00017886,1986-03-04,Female
NASAW00017887,2005-11-10,Male
NASAW00017888,1999-12-20,Female
NASAW00017889,2003-05-09,Male
NASAW00017890,1979-01-30,Male
NASAW00017891,2002-07-24,Female
NASAW00017892,1983-10-08,Male
NASAW00017893,2001-09-08,Male
NASAW00017894,1990-05-01,Female
NASAW00017895,1971-12-12,Male
NASAW00017896,1978-02-08,Female
NASAW00017897,1996-04-29,Male
NASAW00017898,1977-06-15,Female
NASAW00017899,1988-02-11,Female
NASAW00017900,1998-11-28,Female
NASAW00017901,1982-01-27,Male
NASAW00017902,1990-11-01,Female
NASAW00017903,1966-12-14,Female
NASAW00017904,1989-01-19,Female
NASAW00017905,1983-10-18,Male
NASAW00017906,1978-08-25,Male
NASAW00017907,1987-12-01,Female
NASAW00017908,1965-08-03,Male
NASAW00017909,1997-08-22,Female
NASAW00017910,2003-11-25,Male
NASAW00017911,1996-12-01,Male
NASAW00017912,2001-07-08,Male
NASAW00017913,1984-04-24,Female
NASAW00017914,1978-10-09,Male
NASAW00017915,1985-09-13,Female
NASAW00017916,1984-05-23,Female
NASAW00017917,1987-10-30,Female
NASAW00017918,1976-07-25,Female
NASAW00017919,1985-06-19,Male
NASAW00017920,1994-09-18,Male
NASAW00017921,1955-10-06,Female
NASAW00017922,1983-01-06,Male
NASAW00017923,1998-10-07,Male
NASAW00017924,1983-10-16,Female
NASAW00017925,2002-06-04,Male
NASAW00017926,1983-12-08,Female
NASAW00017927,1992-09-02,Male
NASAW00017928,1998-04-24,Male
NASAW00017929,2002-01-17,Male
NASAW00017930,1983-12-21,Female
NASAW00017931,1968-03-23,Male
NASAW00017932,1988-09-24,Male
NASAW00017933,1994-09-05,Female
NASAW00017934,1980-03-16,Male
NASAW00017935,1997-08-01,Female
NASAW00017936,1984-05-01,Female
NASAW00017937,2000-06-21,Female
NASAW00017938,2002-12-03,Male
NASAW00017939,1969-08-30,Female
NASAW00017940,1997-05-13,Male
NASAW00017941,1997-11-15,Male
NASAW00017942,1988-08-17,Male
NASAW00017943,1975-04-18,Male
NASAW00017944,2003-09-29,Female
NASAW00017945,2008-02-29,Male
NASAW00017946,1988-09-16,Female
NASAW00017947,2004-05-31,Male
NASAW00017948,1976-07-15,Female
NASAW00017949,1971-12-08,Female
NASAW00017950,1967-09-16,Male
NASAW00017951,2007-11-25,Male
NASAW00017952,1993-12-27,Male
NASAW00017953,1984-11-12,Female
NASAW00017954,1991-06-19,Female
NASAW00017955,1984-08-11,Male
NASAW00017956,1988-11-03,Male
NASAW00017957,1992-07-29,Female
NASAW00017958,1966-02-25,Male
NASAW00017959,1999-07-11,Female
NASAW00017960,2008-01-28,Female
NASAW00017961,2001-12-29,Female
NASAW00017962,1984-12-17,Male
NASAW00017963,2003-06-04,Female
NASAW00017964,1993-06-22,Male
NASAW00017965,1990-11-27,Male
NASAW00017966,1995-07-29,Female
NASAW00017967,1988-03-28,Female
NASAW00017968,1991-01-10,Female
NASAW00017969,1981-06-28,Male
NASAW00017970,1994-01-29,Male
NASAW00017971,1997-07-24,Female
NASAW00017972,1970-12-22,Female
NASAW00017973,1991-02-11,Male
NASAW00017974,1983-06-11,Female
NASAW00017975,1979-07-14,Female
NASAW00017976,1990-05-29,Female
NASAW00017977,1987-07-13,Female
NASAW00017978,1997-07-25,Male
NASAW00017979,1986-07-31,Female
NASAW00017980,1994-11-20,Female
NASAW00017981,1998-09-07,Male
NASAW00017982,2007-06-26,Male
NASAW00017983,1999-09-03,Female
NASAW00017984,1992-02-17,Female
NASAW00017985,1994-03-28,Male
NASAW00017986,2002-05-11,Female
NASAW00017987,1996-04-16,Female
NASAW00017988,2002-05-13,Male
NASAW00017989,1972-02-01,Female
NASAW00017990,1985-10-19,Female
NASAW00017991,1972-05-10,Male
NASAW00017992,1967-12-23,Female
NASAW00017993,1984-12-02,Male
NASAW00017994,2000-08-28,Male
NASAW00017995,1972-01-01,Female
NASAW00017996,2001-05-25,Male
NASAW00017997,1978-07-03,Female
NASAW00017998,1977-02-12,Female
NASAW00017999,1987-01-04,Male
NASAW00018000,1962-08-29,Male
NASAW00018001,1963-04-17,Male
NASAW00018002,1988-03-19,Female
NASAW00018003,1967-10-23,Male
NASAW00018004,2001-04-14,Female
NASAW00018005,1972-09-20,Female
NASAW00018006,1997-05-12,Male
NASAW00018007,1979-11-18,Female
NASAW00018008,1987-08-26,Female
NASAW00018009,1968-12-03,Female
NASAW00018010,2007-11-26,Male
NASAW00018011,1992-04-04,Male
NASAW00018012,1985-04-29,Female
NASAW00018013,1985-05-13,Female
NASAW00018014,1984-03-29,Male
NASAW00018015,1973-09-17,Female
NASAW00018016,1984-10-31,Female
NASAW00018017,1971-02-28,Male
NASAW00018018,1983-11-25,Male
NASAW00018019,1975-01-10,Female
NASAW00018020,1973-01-12,Male
NASAW00018021,1979-04-05,Female
NASAW00018022,1985-09-23,Male
NASAW00018023,1988-02-18,Male
NASAW00018024,1982-08-06,Female
NASAW00018025,1987-07-24,Male
NASAW00018026,1965-05-03,Female
NASAW00018027,1998-11-17,Female
NASAW00018028,1993-03-23,Male
NASAW00018029,1980-04-14,Female
NASAW00018030,1990-07-12,Male
NASAW00018031,1992-07-26,Female
NASAW00018032,1995-04-13,Female
NASAW00018033,1984-01-10,Female
NASAW00018034,1972-04-26,Male
NASAW00018035,1995-12-04,Female
NASAW00018036,1994-03-24,Male
NASAW00018037,2007-11-18,Male
NASAW00018038,1997-08-13,Female
NASAW00018039,1993-11-20,Male
NASAW00018040,1995-03-19,Male
NASAW00018041,1995-05-09,Female
NASAW00018042,2003-12-01,Male
NASAW00018043,1991-04-19,Female
NASAW00018044,1999-09-22,Female
NASAW00018045,1989-11-09,Female
NASAW00018046,2004-11-23,Male
NASAW00018047,2002-08-17,Female
NASAW00018048,1999-05-05,Female
NASAW00018049,1965-05-26,Male
NASAW00018050,1974-07-12,Female
NASAW00018051,1995-01-20,Female
NASAW00018052,1985-01-02,Female
NASAW00018053,1989-01-25,Female
NASAW00018054,1996-03-14,Male
NASAW00018055,1968-11-26,Male
NASAW00018056,1984-06-22,Female
NASAW00018057,1979-11-26,Male
NASAW00018058,1983-01-10,Female
NASAW00018059,1969-06-29,Female
NASAW00018060,1984-11-02,Female
NASAW00018061,1991-07-03,Male
NASAW00018062,1985-01-31,Male
NASAW00018063,2007-08-23,Female
NASAW00018064,1986-10-06,Female
NASAW00018065,1998-02-16,Female
NASAW00018066,1990-04-03,Male
NASAW00018067,1994-10-20,Male
NASAW00018068,1992-04-02,Male
NASAW00018069,1991-02-24,Male
NASAW00018070,2005-07-23,Female
NASAW00018071,1989-11-19,Female
NASAW00018072,1981-06-10,Female
NASAW00018073,1980-02-21,Male
NASAW00018074,2006-04-14,Female
NASAW00018075,1982-01-21,Female
NASAW00018076,1991-06-17,Male
NASAW00018077,1995-10-23,Male
NASAW00018078,1991-02-13,Male
NASAW00018079,1966-06-26,Female
NASAW00018080,1997-11-27,Female
NASAW00018081,1985-09-17,Female
NASAW00018082,1994-04-08,Male
NASAW00018083,1971-02-25,Male
NASAW00018084,1972-04-05,Female
NASAW00018085,1995-03-09,Female
NASAW00018086,1979-06-17,Female
NASAW00018087,1988-01-15,Male
NASAW00018088,2004-01-12,Male
NASAW00018089,1963-09-22,Female
NASAW00018090,1982-09-30,Male
NASAW00018091,1978-04-24,Male
NASAW00018092,1980-05-26,Male
NASAW00018093,1997-11-11,Female
NASAW00018094,1981-10-17,Male
NASAW00018095,1970-06-11,Male
NASAW00018096,1968-02-10,Female
NASAW00018097,2005-03-04,Female
NASAW00018098,1960-04-26,Male
NASAW00018099,1993-06-17,Male
NASAW00018100,1991-10-06,Male
NASAW00018101,1990-05-25,Female
NASAW00018102,1977-07-09,Male
NASAW00018103,1988-08-10,Female
NASAW00018104,1989-09-18,Female
NASAW00018105,2002-11-30,Female
NASAW00018106,1979-02-03,Male
NASAW00018107,1992-09-17,Female
NASAW00018108,1982-01-27,Male
NASAW00018109,1963-03-17,Male
NASAW00018110,2002-07-11,Male
NASAW00018111,1983-07-02,Male
NASAW00018112,1992-11-07,Female
NASAW00018113,1995-11-06,Female
NASAW00018114,1978-12-05,Female
NASAW00018115,1967-07-08,Male
NASAW00018116,1950-04-18,Male
NASAW00018117,2003-03-17,Male
NASAW00018118,1987-12-20,Female
NASAW00018119,1987-03-05,Male
NASAW00018120,2000-08-01,Female
NASAW00018121,1982-12-09,Female
NASAW00018122,1979-07-09,Male
NASAW00018123,1985-05-07,Female
NASAW00018124,1983-10-20,Male
NASAW00018125,1995-08-21,Female
NASAW00018126,1995-10-08,Male
NASAW00018127,1986-12-24,Male
NASAW00018128,1978-11-26,Male
NASAW00018129,1995-06-02,Female
NASAW00018130,1983-09-13,Female
NASAW00018131,1973-02-05,Female
NASAW00018132,1997-05-15,Female
NASAW00018133,1976-05-25,Female
NASAW00018134,1979-03-08,Female
NASAW00018135,1969-02-26,Male
NASAW00018136,1984-06-01,Male
NASAW00018137,1993-01-01,Male
NASAW00018138,1993-08-10,Male
NASAW00018139,1973-10-22,Female
NASAW00018140,1969-09-28,Male
NASAW00018141,1996-12-06,Female
NASAW00018142,1970-11-09,Female
NASAW00018143,1967-03-18,Male
NASAW00018144,2002-06-10,Female
NASAW00018145,2007-08-03,Male
NASAW00018146,1968-11-16,Male
NASAW00018147,1980-05-02,Female
NASAW00018148,1977-09-24,Female
NASAW00018149,1995-06-07,Female
NASAW00018150,1997-09-01,Male
NASAW00018151,1996-07-21,Male
NASAW00018152,1988-04-12,Male
NASAW00018153,1986-05-09,Female
NASAW00018154,1998-12-29,Male
NASAW00018155,1994-04-04,Female
NASAW00018156,1972-03-31,Female
NASAW00018157,1981-02-20,Female
NASAW00018158,1987-03-24,Male
NASAW00018159,1991-08-07,Female
NASAW00018160,1990-05-02,Male
NASAW00018161,1991-07-03,Female
NASAW00018162,2004-01-18,Female
NASAW00018163,1995-03-21,Male
NASAW00018164,1995-10-24,Female
NASAW00018165,1999-06-09,Male
NASAW00018166,1982-06-15,Male
NASAW00018167,1991-04-03,Male
NASAW00018168,1980-01-14,Male
NASAW00018169,1975-03-16,Female
NASAW00018170,1997-04-25,Male
NASAW00018171,2001-12-06,Male
NASAW00018172,1995-02-26,Male
NASAW00018173,1967-02-20,Male
NASAW00018174,1971-04-19,Female
NASAW00018175,1963-08-11,Female
NASAW00018176,1986-06-24,Male
NASAW00018177,1998-12-12,Male
NASAW00018178,2002-06-13,Female
NASAW00018179,1987-07-22,Female
NASAW00018180,1982-01-24,Male
NASAW00018181,1982-02-12,Male
NASAW00018182,1972-10-30,Female
NASAW00018183,2007-02-10,Female
NASAW00018184,1998-10-04,Male
NASAW00018185,1992-10-25,Female
NASAW00018186,1987-07-11,Female
NASAW00018187,2006-11-15,Male
NASAW00018188,1984-06-14,Male
NASAW00018189,1989-10-23,Female
NASAW00018190,1975-04-30,Male
NASAW00018191,1992-07-30,Female
NASAW00018192,1959-05-02,Male
NASAW00018193,1993-11-21,Male
NASAW00018194,1989-09-16,Female
NASAW00018195,1990-07-02,Male
NASAW00018196,2001-11-26,Male
NASAW00018197,1976-11-02,Female
NASAW00018198,1969-10-27,Male
NASAW00018199,1988-10-22,Female
NASAW00018200,1977-10-23,Male
NASAW00018201,1994-12-16,Female
NASAW00018202,1993-04-22,Female
NASAW00018203,1995-07-20,Male
NASAW00018204,1994-07-04,Female
NASAW00018205,1996-05-25,Female
NASAW00018206,1983-01-28,Male
NASAW00018207,1987-04-23,Male
NASAW00018208,1989-12-13,Female
NASAW00018209,1979-07-03,Female
NASAW00018210,1998-02-09,Female
NASAW00018211,1993-12-30,Female
NASAW00018212,1998-10-08,Male
NASAW00018213,1966-10-27,Female
NASAW00018214,1992-10-03,Male
NASAW00018215,1981-05-13,Female
NASAW00018216,1991-11-04,Female
NASAW00018217,1992-05-07,Male
NASAW00018218,1999-05-23,Male
NASAW00018219,1984-08-18,Female
NASAW00018220,1988-03-13,Male
NASAW00018221,2001-11-10,Male
NASAW00018222,1991-07-22,Female
NASAW00018223,1986-10-29,Male
NASAW00018224,1981-04-11,Female
NASAW00018225,1989-07-02,Female
NASAW00018226,1988-01-07,Male
NASAW00018227,1997-01-22,Female
NASAW00018228,1996-11-06,Male
NASAW00018229,2001-06-01,Female
NASAW00018230,1996-07-24,Female
NASAW00018231,1996-09-16,Female
NASAW00018232,2002-06-18,Female
NASAW00018233,1967-07-18,Female
NASAW00018234,2005-10-06,Female
NASAW00018235,1968-05-19,Male
NASAW00018236,2003-06-24,Male
NASAW00018237,1975-06-12,Female
NASAW00018238,1972-05-26,Male
NASAW00018239,1982-05-22,Female
NASAW00018240,2000-09-23,Male
NASAW00018241,1989-04-06,Male
NASAW00018242,1996-08-16,Female
NASAW00018243,1988-01-26,Male
NASAW00018244,1997-01-03,Female
NASAW00018245,2002-03-01,Female
NASAW00018246,2002-05-12,Male
NASAW00018247,1989-11-17,Female
NASAW00018248,1998-11-21,Male
NASAW00018249,1977-03-17,Female
NASAW00018250,1968-06-21,Male
NASAW00018251,1996-06-16,Male
NASAW00018252,1997-09-12,Male
NASAW00018253,1986-08-15,Female
NASAW00018254,1994-07-07,Male
NASAW00018255,1990-06-26,Female
NASAW00018256,1978-01-19,Male
NASAW00018257,1995-08-08,Female
NASAW00018258,2002-12-19,Female
NASAW00018259,1997-08-18,Female
NASAW00018260,1964-11-24,Female
NASAW00018261,1998-05-28,Female
NASAW00018262,1988-12-16,Female
NASAW00018263,2007-05-13,Female
NASAW00018264,1995-07-08,Male
NASAW00018265,1969-03-28,Female
NASAW00018266,1972-08-10,Female
NASAW00018267,1978-11-25,Male
NASAW00018268,1978-08-13,Male
NASAW00018269,1987-08-13,Female
NASAW00018270,2007-10-27,Female
NASAW00018271,1982-05-23,Male
NASAW00018272,1986-05-27,Female
NASAW00018273,1997-05-04,Female
NASAW00018274,1991-10-31,Female
NASAW00018275,1985-05-25,Female
NASAW00018276,1969-03-19,Female
NASAW00018277,2007-05-13,Male
NASAW00018278,1975-08-17,Male
NASAW00018279,1974-03-05,Female
NASAW00018280,1994-09-17,Male
NASAW00018281,1981-08-13,Female
NASAW00018282,2002-02-02,Female
NASAW00018283,2000-12-26,Female
NASAW00018284,1978-03-13,Male
NASAW00018285,1995-05-25,Male
NASAW00018286,1973-09-30,Female
NASAW00018287,1992-03-24,Female
NASAW00018288,2006-12-17,Female
NASAW00018289,2000-11-18,Female
NASAW00018290,1983-03-21,Female
NASAW00018291,1993-09-25,Female
NASAW00018292,1984-05-01,Male
NASAW00018293,1994-04-30,Male
NASAW00018294,1967-02-21,Female
NASAW00018295,1983-08-09,Female
NASAW00018296,1987-10-26,Female
NASAW00018297,1997-01-23,Female
NASAW00018298,1986-07-24,Male
NASAW00018299,1992-02-01,Male
NASAW00018300,1993-08-11,Female
NASAW00018301,1984-05-21,Female
NASAW00018302,1972-07-18,Male
NASAW00018303,1973-06-08,Male
NASAW00018304,1988-02-05,Female
NASAW00018305,1998-03-13,Male
NASAW00018306,1958-04-20,Female
NASAW00018307,2000-04-22,Female
NASAW00018308,1989-03-30,Female
NASAW00018309,1972-09-29,Female
NASAW00018310,1985-01-10,Male
NASAW00018311,1977-08-25,Female
NASAW00018312,1973-08-17,Male
NASAW00018313,1984-10-25,Female
NASAW00018314,2000-02-12,Male
NASAW00018315,1960-04-10,Female
NASAW00018316,1986-03-07,Male
NASAW00018317,1988-01-07,Female
NASAW00018318,1985-02-03,Male
NASAW00018319,1985-10-22,Female
NASAW00018320,1977-11-01,Male
NASAW00018321,1984-09-27,Male
NASAW00018322,1992-01-10,Male
NASAW00018323,2001-11-29,Male
NASAW00018324,1992-04-03,Male
NASAW00018325,1960-04-19,Female
NASAW00018326,2005-12-13,Male
NASAW00018327,1998-03-26,Male
NASAW00018328,1995-12-04,Male
NASAW00018329,1978-02-24,Male
NASAW00018330,2007-04-05,Female
NASAW00018331,2000-01-26,Male
NASAW00018332,2002-12-21,Male
NASAW00018333,1996-11-13,Female
NASAW00018334,1977-12-20,Male
NASAW00018335,1993-08-25,Male
NASAW00018336,1986-01-03,Female
NASAW00018337,1994-10-22,Female
NASAW00018338,1982-12-11,Female
NASAW00018339,1985-04-05,Female
NASAW00018340,1975-11-18,Female
NASAW00018341,1982-03-06,Male
NASAW00018342,1998-01-03,Female
NASAW00018343,1988-12-29,Male
NASAW00018344,1991-08-15,Male
NASAW00018345,1955-12-13,Female
NASAW00018346,1998-04-13,Female
NASAW00018347,1991-04-04,Male
NASAW00018348,2007-12-18,Male
NASAW00018349,1983-06-06,Male
NASAW00018350,1990-10-31,Male
NASAW00018351,1984-08-10,Male
NASAW00018352,1969-12-31,Male
NASAW00018353,1993-03-17,Male
NASAW00018354,1969-11-12,Male
NASAW00018355,1991-12-26,Male
NASAW00018356,1969-06-09,Male
NASAW00018357,1970-10-26,Male
NASAW00018358,1998-04-08,Male
NASAW00018359,1984-12-22,Male
NASAW00018360,1976-01-26,Male
NASAW00018361,1987-04-02,Male
NASAW00018362,1968-01-01,Male
NASAW00018363,1993-08-29,Male
NASAW00018364,1996-01-05,Male
NASAW00018365,1990-08-13,Male
NASAW00018366,1990-03-16,Male
NASAW00018367,1974-04-03,Male
NASAW00018368,1990-10-26,Male
NASAW00018369,2004-03-23,Male
NASAW00018370,1987-01-11,Male
NASAW00018371,1976-03-24,Male
NASAW00018372,2000-01-05,Male
NASAW00018373,1978-03-31,Male
NASAW00018374,1978-02-21,Male
NASAW00018375,1996-07-29,Male
NASAW00018376,1983-11-05,Male
NASAW00018377,2002-01-07,Male
NASAW00018378,2000-01-13,Male
NASAW00018379,1984-06-02,Male
NASAW00018380,1977-06-17,Male
NASAW00018381,1969-08-25,Male
NASAW00018382,1983-07-26,Male
NASAW00018383,2000-08-02,Male
NASAW00018384,1960-04-25,Male
NASAW00018385,1977-03-09,Male
NASAW00018386,1992-01-14,Male
NASAW00018387,1999-02-01,Male
NASAW00018388,1990-01-04,Male
NASAW00018389,1971-10-16,Male
NASAW00018390,2001-05-14,Male
NASAW00018391,1996-03-30,Male
NASAW00018392,1967-10-13,Male
NASAW00018393,1975-12-03,Male
NASAW00018394,1991-06-05,Male
NASAW00018395,1995-09-22,Male
NASAW00018396,1967-07-17,Male
NASAW00018397,1993-04-20,Male
NASAW00018398,1981-05-10,Male
NASAW00018399,1985-04-09,Male
NASAW00018400,1985-03-09,Male
NASAW00018401,1999-05-22,Male
NASAW00018402,1963-05-31,Female
NASAW00018403,2002-03-24,Female
NASAW00018404,2005-09-19,Female
NASAW00018405,1970-06-20,Female
NASAW00018406,1993-01-24,Male
NASAW00018407,1993-07-02,Female
NASAW00018408,1989-07-17,Male
NASAW00018409,2001-12-03,Female
NASAW00018410,2007-04-21,Male
NASAW00018411,1981-07-11,Male
NASAW00018412,1990-03-26,Female
NASAW00018413,1978-01-20,Male
NASAW00018414,1986-06-15,Female
NASAW00018415,1964-11-16,Female
NASAW00018416,1974-02-08,Female
NASAW00018417,1995-02-13,Male
NASAW00018418,1964-12-25,Female
NASAW00018419,1995-11-08,Female
NASAW00018420,2001-02-09,Female
NASAW00018421,1987-08-10,Female
NASAW00018422,1986-08-16,Female
NASAW00018423,1969-06-17,Male
NASAW00018424,1988-02-20,Male
NASAW00018425,1978-02-28,Male
NASAW00018426,1998-10-21,Male
NASAW00018427,1970-08-18,Male
NASAW00018428,1989-03-19,Female
NASAW00018429,1993-01-17,Female
NASAW00018430,1994-04-20,Female
NASAW00018431,1995-01-21,Male
NASAW00018432,2007-12-24,Female
NASAW00018433,1973-09-28,Male
NASAW00018434,1988-01-18,Male
NASAW00018435,1998-08-06,Female
NASAW00018436,2002-07-10,Male
NASAW00018437,1983-03-08,Female
NASAW00018438,1966-04-04,Female
NASAW00018439,1978-04-04,Female
NASAW00018440,1979-09-24,Male
NASAW00018441,2000-05-27,Female
NASAW00018442,2002-01-23,Male
NASAW00018443,2001-10-01,Male
NASAW00018444,1964-08-05,Female
NASAW00018445,1986-04-09,Male
NASAW00018446,1961-07-21,Male
NASAW00018447,2006-06-06,Female
NASAW00018448,2008-02-17,Female
NASAW00018449,2000-06-14,Male
NASAW00018450,1958-07-12,Male
NASAW00018451,1962-07-31,Male
NASAW00018452,1985-01-15,Male
NASAW00018453,1970-02-26,Female
NASAW00018454,1990-04-11,Male
NASAW00018455,1975-02-27,Male
NASAW00018456,2001-05-20,Male
NASAW00018457,1996-01-01,Female
NASAW00018458,1993-12-10,Male
NASAW00018459,1981-05-13,Female
NASAW00018460,1997-02-26,Female
NASAW00018461,1987-05-24,Female
NASAW00018462,1974-02-10,Male
NASAW00018463,1994-04-03,Female
NASAW00018464,1972-11-11,Female
NASAW00018465,1953-07-08,Female
NASAW00018466,1989-01-24,Female
NASAW00018467,1999-02-12,Male
NASAW00018468,1996-07-20,Male
NASAW00018469,1990-04-27,Female
NASAW00018470,1986-09-02,Female
NASAW00018471,1998-01-28,Female
NASAW00018472,1977-09-03,Female
NASAW00018473,1981-05-01,Male
NASAW00018474,1993-01-03,Male
NASAW00018475,1980-03-15,Female
NASAW00018476,1997-08-03,Female
NASAW00018477,1981-10-21,Female
NASAW00018478,1998-12-14,Male
NASAW00018479,1968-04-03,Female
NASAW00018480,1968-04-22,Female
NASAW00018481,2002-03-28,Female
NASAW00018482,1972-02-14,Female
NASAW00018483,1987-10-01,Male
NASAW00018484,2004-04-04,Male
NASAW00018485,1977-07-07,Male
NASAW00018486,2000-07-28,Female
NASAW00018487,1987-02-19,Female
NASAW00018488,2007-04-01,Male
NASAW00018489,1992-04-09,Male
NASAW00018490,1973-04-16,Male
NASAW00018491,1987-03-30,Female
NASAW00018492,1998-07-21,Female
NASAW00018493,1975-11-29,Female
NASAW00018494,1976-09-17,Male
NASAW00018495,2007-06-07,Male
NASAW00018496,1985-01-25,Male
NASAW00018497,1988-08-30,Male
NASAW00018498,1992-06-06,Male
NASAW00018499,1991-02-04,Male
NASAW00018500,1998-08-30,Male
NASAW00018501,1985-05-19,Female
NASAW00018502,1988-06-22,Female
NASAW00018503,1990-09-07,Male
NASAW00018504,1992-11-09,Male
NASAW00018505,2004-04-22,Female
NASAW00018506,1980-03-09,Male
NASAW00018507,1994-05-11,Male
NASAW00018508,1975-12-24,Female
NASAW00018509,1990-11-18,Male
NASAW00018510,1992-12-13,Male
NASAW00018511,1990-09-12,Female
NASAW00018512,1988-07-11,Male
NASAW00018513,1969-02-17,Male
NASAW00018514,1992-05-27,Female
NASAW00018515,1978-11-17,Female
NASAW00018516,2004-10-25,Male
NASAW00018517,1991-02-15,Male
NASAW00018518,1994-05-11,Female
NASAW00018519,1955-11-27,Male
NASAW00018520,1981-07-27,Male
NASAW00018521,1985-07-26,Female
NASAW00018522,1990-11-04,Male
NASAW00018523,1991-09-24,Male
NASAW00018524,1998-02-21,Male
NASAW00018525,1997-08-29,Male
NASAW00018526,1989-02-23,Male
NASAW00018527,1991-10-21,Male
NASAW00018528,1999-05-16,Male
NASAW00018529,1998-03-29,Male
NASAW00018530,1992-09-17,Male
NASAW00018531,1994-10-16,Male
NASAW00018532,2007-07-20,Male
NASAW00018533,1988-02-18,Male
NASAW00018534,1972-11-17,Male
NASAW00018535,1962-12-22,Male
NASAW00018536,2005-11-07,Female
NASAW00018537,2007-07-02,Female
NASAW00018538,1966-10-10,Male
NASAW00018539,1986-06-26,Female
NASAW00018540,1994-03-28,Female
NASAW00018541,1997-12-19,Female
NASAW00018542,1980-01-27,Male
NASAW00018543,1984-05-09,Male
NASAW00018544,1997-08-23,Female
NASAW00018545,1997-01-10,Male
NASAW00018546,1985-09-01,Female
NASAW00018547,1978-04-14,Male
NASAW00018548,1987-02-11,Male
NASAW00018549,1972-04-15,Female
NASAW00018550,1995-09-08,Female
NASAW00018551,1997-08-30,Female
NASAW00018552,1998-05-04,Female
NASAW00018553,1971-11-14,Male
NASAW00018554,1987-03-06,Female
NASAW00018555,1979-04-05,Female
NASAW00018556,1984-01-28,Male
NASAW00018557,2000-06-03,Female
NASAW00018558,1992-01-29,Female
NASAW00018559,1991-08-10,Male
NASAW00018560,1999-06-17,Female
NASAW00018561,1977-09-26,Female
NASAW00018562,1988-12-17,Female
NASAW00018563,2006-12-04,Male
NASAW00018564,1982-02-14,Male
NASAW00018565,1986-02-27,Male
NASAW00018566,2001-06-24,Male
NASAW00018567,1980-12-21,Female
NASAW00018568,1973-09-18,Female
NASAW00018569,1970-05-13,Female
NASAW00018570,2003-02-18,Male
NASAW00018571,1986-09-02,Male
NASAW00018572,1990-09-15,Female
NASAW00018573,1972-11-08,Female
NASAW00018574,1990-06-12,Female
NASAW00018575,1993-07-14,Female
NASAW00018576,1984-08-15,Female
NASAW00018577,1992-02-29,Female
NASAW00018578,2007-09-20,Male
NASAW00018579,2007-07-27,Male
NASAW00018580,1982-04-28,Female
NASAW00018581,2000-05-17,Female
NASAW00018582,1992-02-08,Male
NASAW00018583,1989-05-31,Male
NASAW00018584,1992-09-05,Female
NASAW00018585,1983-12-04,Female
NASAW00018586,1976-03-08,Male
NASAW00018587,1992-01-03,Female
NASAW00018588,1982-07-18,Female
NASAW00018589,1984-02-05,Female
NASAW00018590,1991-11-01,Female
NASAW00018591,1994-09-23,Male
NASAW00018592,1970-10-06,Female
NASAW00018593,1990-04-09,Female
NASAW00018594,1984-12-04,Female
NASAW00018595,1985-03-26,Male
NASAW00018596,1996-02-23,Female
NASAW00018597,1990-06-19,Female
NASAW00018598,2007-10-19,Male
NASAW00018599,1995-10-10,Male
NASAW00018600,2001-12-24,Female
NASAW00018601,1994-07-23,Female
NASAW00018602,1998-05-11,Male
NASAW00018603,2005-03-20,Female
NASAW00018604,1994-05-11,Female
NASAW00018605,1976-12-08,Male
NASAW00018606,1964-02-25,Male
NASAW00018607,1983-02-05,Female
NASAW00018608,1999-10-12,Male
NASAW00018609,1991-01-21,Female
NASAW00018610,2008-02-26,Female
NASAW00018611,1993-05-08,Female
NASAW00018612,1980-03-16,Female
NASAW00018613,1979-06-15,Male
NASAW00018614,1975-03-05,Male
NASAW00018615,1987-10-19,Male
NASAW00018616,1962-07-07,Male
NASAW00018617,1998-09-19,Male
NASAW00018618,1950-07-30,Male
NASAW00018619,1996-01-08,Male
NASAW00018620,1972-06-30,Male
NASAW00018621,1993-12-14,Female
NASAW00018622,1989-01-09,Male
NASAW00018623,2008-03-16,Female
NASAW00018624,1999-06-19,Male
NASAW00018625,1987-12-08,Male
NASAW00018626,2001-07-11,Male
NASAW00018627,2003-05-23,Female
NASAW00018628,2000-04-11,Female
NASAW00018629,1985-09-13,Male
NASAW00018630,1986-04-22,Female
NASAW00018631,1987-09-26,Female
NASAW00018632,1971-11-03,Male
NASAW00018633,1974-10-04,Male
NASAW00018634,1981-09-09,Female
NASAW00018635,1996-09-21,Female
NASAW00018636,1985-12-12,Male
NASAW00018637,1980-01-15,Male
